Timestamp (s),X,Y,Z
0,0.0037231445,0.024017334,0.0025482178
0.1,0.0015869141,-0.022857666,-0.00065612793
0.2,0.0005187988,-0.006881714,0.00894165
0.3,-0.0037384033,0.0027160645,0.003616333
0.4,-0.0016174316,-0.0036773682,-0.011306763
0.5,0.012237549,0.003768921,0.0004119873
0.6,-0.015457153,0.028274536,0.0046691895
0.7,0.0005187988,-0.0015563965,0.0014801025
0.8,-0.04208374,0.08366394,-0.008102417
0.9,0.08680725,-0.09954834,0.0025482178
1,-0.029312134,0.000579834,0.0004119873
1.1,-0.015457153,0.04852295,0.011062622
1.2,-0.035705566,0.059173584,-0.0017089844
1.3,0.034606934,-0.036697388,-0.00065612793
1.4,0.010101318,-0.01965332,0.0004119873
1.5,-0.012268066,0.009109497,-0.00491333
1.6,-0.0016174316,-0.018600464,0.0004119873
1.7,-0.029312134,-0.027114868,0.0046691895
1.8,0.004776001,-0.00048828125,0.01638794
1.9,0.036743164,-0.11659241,0.00680542
2,-0.0037384033,-0.015396118,0.014266968
2.1,-0.06765747,-0.03883362,-0.00491333
2.2,-0.06552124,0.04425049,-0.0059814453
2.3,-0.10281372,0.17315674,-0.008102417
2.4,0.24446106,-0.1400299,-0.018753052
2.5,-0.1486206,0.04852295,-0.031539917
2.6,-0.25621033,-0.14855957,-0.0038452148
2.7,0.0069122314,0.12628174,-0.04006958
2.8,-0.13583374,-0.2135315,-0.052841187
2.9,0.1262207,-0.07398987,-0.0539093
3,-0.017593384,-0.31367493,-0.0070495605
3.1,-0.0974884,-0.05480957,0.025985718
3.2,-0.14755249,0.1156311,-0.0017089844
3.3,-0.27964783,0.08898926,-0.00065612793
3.4,-0.09321594,0.008041382,-0.057113647
3.5,-0.03250122,0.07408142,-0.057113647
3.6,0.19865417,-0.16239929,-0.14233398
3.7,-0.017593384,-0.034576416,-0.10292053
3.8,-0.15074158,0.075149536,-0.13594055
3.9,-0.23703003,0.022949219,-0.097595215
4,-0.29562378,-0.08357239,-0.0070495605
4.1,-0.16459656,0.0410614,-0.009170532
4.2,0.09106445,0.022949219,-0.054977417
4.3,-0.101745605,-0.015396118,-0.041137695
4.4,0.20718384,-0.14855957,-0.06350708
4.5,-0.059127808,-0.112335205,-0.05178833
4.6,-0.05593872,0.096450806,-0.0730896
4.7,0.30091858,-0.04736328,-0.0017089844
4.8,-0.11026001,-0.0036773682,-0.01449585
4.9,-0.022918701,-0.100616455,-0.0730896
5,0.18693542,0.008041382,-0.013427734
5.1,-0.066589355,-0.0132751465,-0.021957397
5.2,-0.016525269,0.019760132,-0.04006958
5.3,0.08999634,-0.020721436,-0.018753052
5.4,0.007980347,-0.112335205,0.012130737
5.5,-0.11239624,0.030410767,0.07923889
5.6,0.13368225,-0.19862366,0.06965637
