0.03541565,0.07173157,-0.08564758
0.04927063,0.0546875,-0.035583496
-0.010391235,-0.1487732,0.08799744
-0.09454346,-0.18499756,-0.033447266
-0.09454346,0.012084961,-0.02279663
-0.033828735,0.053619385,-0.174057
-0.019973755,0.037643433,-0.014266968
-0.07963562,-0.06462097,-0.05155945
-0.008255005,0.0014343262,0.036865234
-0.22238159,0.038711548,-0.068603516
0.016235352,0.051498413,-0.2709961
0.23143005,0.1484375,-0.00894165
-0.005065918,0.12286377,-0.101623535
0.13235474,0.09197998,0.019821167
0.10040283,-0.18925476,-0.080322266
0.026885986,-0.053970337,-0.031311035
0.036483765,-0.13279724,-0.29336548
0.11105347,-0.31814575,-0.34024048
-0.6303711,-0.008163452,-0.21453857
-0.40560913,-0.19351196,0.17854309
-0.05406189,-0.05822754,-0.028121948
0.23675537,0.12818909,0.034729004
0.018371582,0.09410095,-0.2624817
-0.16271973,0.02166748,-0.113342285
0.02583313,-0.23399353,0.22860718
0.35179138,0.024871826,0.15084839
-0.5973511,-0.45877075,-0.16873169
0.5009308,0.1953125,0.38946533
-1.3238678,0.59051514,0.7910614
0.13235474,0.36254883,-0.11759949
0.027954102,0.380661,0.19984436
-0.08602905,-0.051834106,-0.14424133
-0.12756348,-0.09338379,-0.49684143
0.8929596,-0.0060272217,0.20516968
-0.1254425,-0.7293396,-0.25608826
-0.22131348,-0.31814575,0.16894531
-2.716156,0.34443665,0.96684265
2.0903168,0.2826538,-0.17832947
0.05885315,0.67041016,0.15296936
-1.1448975,0.3987732,-0.4201355
0.3816223,-0.63986206,-0.060073853
1.4234619,-0.06674194,-0.11653137
-1.4602203,0.36468506,0.42462158
-0.69854736,-0.11042786,-0.0952301
1.0793762,0.5511017,0.30743408
0.3581848,0.2698822,0.14019775
-0.24475098,3.6621094E-4,-0.4403839
-0.13609314,0.33592224,0.2765503
0.31132507,-0.028396606,-0.05795288
0.030090332,0.12713623,-0.078186035
0.03967285,-7.019043E-4,-0.25395203
0.0013275146,-0.11682129,0.058166504
0.062042236,-0.13386536,0.11143494
0.042877197,-0.15730286,0.14231873
-0.1765747,-0.02520752,0.19984436
0.043930054,-0.026275635,0.29464722
0.12702942,0.044036865,0.14978027
-0.0700531,0.19743347,0.3596344
0.12916565,0.16015625,0.2861328
0.18988037,0.12606812,0.27334595
0.07801819,0.1441803,0.44592285
0.18455505,0.26028442,0.686676
-0.05619812,0.300766,0.6909332
-0.16485596,0.42967224,0.5609741
0.19413757,0.07493591,0.032592773
-0.27244568,-0.38845825,0.052841187
0.015182495,-0.06568909,0.27334595
0.09187317,0.112213135,-0.0014953613
0.024765015,0.069610596,-0.037704468
0.10572815,0.20489502,-0.15275574
0.18667603,0.102630615,-0.0717926

